original_string,original_docstring,modified_short_docstring,
"IN_PROC_BROWSER_TEST_F(DriveAppProviderTest, MatchingChromeAppInstalled) {
  // Prepare a Drive app that matches the not-yet-installed kChromeAppId.
  fake_drive_service()->AddApp(
      kDriveAppId, kDriveAppName, kChromeAppId, kLaunchUrl);
  RefreshDriveAppRegistry();
  WaitForPendingDriveAppConverters();

  // An Url app should be created.
  const Extension* url_app =
      ExtensionRegistry::Get(profile())->GetExtensionById(
          mapping()->GetChromeApp(kDriveAppId), ExtensionRegistry::EVERYTHING);
  EXPECT_TRUE(url_app->is_hosted_app());
  EXPECT_TRUE(url_app->from_bookmark());

  const std::string url_app_id = url_app->id();
  EXPECT_NE(kChromeAppId, url_app_id);
  EXPECT_EQ(url_app_id, mapping()->GetChromeApp(kDriveAppId));
  EXPECT_TRUE(mapping()->IsChromeAppGenerated(url_app_id));

  // Installs a chrome app with matching id.
  InstallChromeApp(0);

  // The Drive app should be mapped to chrome app.
  EXPECT_EQ(kChromeAppId, mapping()->GetChromeApp(kDriveAppId));
  EXPECT_FALSE(mapping()->IsChromeAppGenerated(kChromeAppId));

  // Url app should be auto uninstalled.
  EXPECT_FALSE(ExtensionRegistry::Get(profile())->GetExtensionById(
      url_app_id, ExtensionRegistry::EVERYTHING));
}",// A matching Chrome app replaces the created URL app.,"/**
   * Modify Supplier (asynchronously) Modifies the specified supplier.
   *
   * @param companyId The ID of the company. (required)
   * @param supplierId The ID of the supplier. (required)
   * @param modifySupplierRequest The modified Supplier. First level parameters are managed in delta
   *     mode. (optional)
   * @param _callback The callback to be executed when the API call finishes
   * @return The request call
   * @throws ApiException If fail to process the API call, e.g. serializing the request body object
   * @http.response.details
   *     <table border=""1"">
   * <caption>Response Details</caption>
   * <tr><td> Status Code </td><td> Description </td><td> Response Headers </td></tr>
   * <tr><td> 200 </td><td> Example response </td><td>  -  </td></tr>
   * <tr><td> 401 </td><td> Unauthorized </td><td>  -  </td></tr>
   * <tr><td> 404 </td><td> Not Found </td><td>  -  </td></tr>
   * </table>
   */",
"void Zenject::Internal::LookupId::_set_Provider(Zenject::IProvider* value) {
  static auto ___internal__logger = ::Logger::get().WithContext(""Zenject::Internal::LookupId::_set_Provider"");
  auto ___internal__instance = this;
  static auto ___internal__field__offset = THROW_UNLESS(il2cpp_utils::FindField(___internal__instance, ""Provider""))->offset;
  *reinterpret_cast<Zenject::IProvider**>(reinterpret_cast<char*>(this) + ___internal__field__offset) = value;
}","// Autogenerated instance field setter
// Set instance field: public Zenject.IProvider Provider","/***************************************
	 * Registers an cleanup action that will be executed when this process
	 * fragment is finished, i.e. the fragment is removed, the process continues
	 * to the next step, or terminates (regularly or with an error). If a
	 * different finish action is already registered under a particular key it
	 * will be replaced. Therefore invoking code must make sure to use unique
	 * keys or handle the replacement of actions in appropriate ways.
	 *
	 * <p>When invoked a cleanup action receives the process fragment as it's
	 * argument to provide access to process parameters. Registered Actions can
	 * be removed with {@link #removeCleanupAction(String)}.</p>
	 *
	 * @param sKey    A key that identifies the action for later removal
	 * @param fAction The function to invoke on cleanup
	 */",
"TEST(Task_Wavelet_OpenCL, Decompose1D) {
  if (!cv::ocl::haveOpenCL()) GTEST_SKIP();
  cv::ocl::setUseOpenCL(true);

  cv::Mat input(1, 16, CV_32FC2);
  input = cv::Vec2f(0, 0);
  input(cv::Rect(8, 0, 8, 1)) = cv::Vec2f(1.0f, 0.0f);

  cv::Mat wavelet(1, 16, CV_32FC2);

  {
    cv::UMat uinput(1, 16, CV_32FC2);
    input.copyTo(uinput);

    cv::UMat uwavelet(1, 16, CV_32FC2);
    Wavelet<cv::UMat>::decompose_1d(uinput, uwavelet, false);
    uwavelet.copyTo(wavelet);
  }

  cv::Mat composed(1, 16, CV_32FC2);
  Wavelet<cv::Mat>::compose_1d(wavelet, composed, false);

  for (int i = 0; i < 16; i++)
  {
    float delta_re = std::abs(input.at<cv::Vec2f>(i)[0] - composed.at<cv::Vec2f>(i)[0]);
    float delta_im = std::abs(input.at<cv::Vec2f>(i)[1] - composed.at<cv::Vec2f>(i)[1]);

    ASSERT_LE(delta_re, 0.001f);
    ASSERT_LE(delta_im, 0.001f);
  }
}","// Decompose with OpenCL, compose with CPU","/**
     * Get full path and http method
     * @param method    HttpMethod
     * @param subPath   Sub path
     * @return          String
     */",
"HRESULT CDefView::NotifyAutomation(DISPID dispid)
{
    return IUnknown_CPContainerInvokeParam(m_pauto, DIID_DShellFolderViewEvents,
                                           dispid, NULL, 0);
}","//  There is almost always an automation client.  Usually the Address Bar
//  and Explorer Band are watching us.  Sometimes MSHTML is watching, too.
","/**
     * Utility method to help stop an alarm properly. Nothing will happen, if alarm is not firing
     * or using a different instance.
     *
     * @param context application context
     * @param instance you are trying to stop
     */",
"void GlobalNamespace::StandardLevelBuyInfoView::_set__buyPackButton(UnityEngine::UI::Button* value) {
  static auto ___internal__logger = ::Logger::get().WithContext(""GlobalNamespace::StandardLevelBuyInfoView::_set__buyPackButton"");
  auto ___internal__instance = this;
  static auto ___internal__field__offset = THROW_UNLESS(il2cpp_utils::FindField(___internal__instance, ""_buyPackButton""))->offset;
  *reinterpret_cast<UnityEngine::UI::Button**>(reinterpret_cast<char*>(this) + ___internal__field__offset) = value;
}","// Autogenerated instance field setter
// Set instance field: private UnityEngine.UI.Button _buyPackButton
","/**
   * Amount of usages remaining AFTER the current use.
   */",
"int Environment::has(lua_State* L)
{
    int rv = 0;
    try
    {
        const char* key = luaL_checkstring(L, 1);
        bool result = Poco::Environment::has(key);
        lua_pushboolean(L, result);
        rv = 1;
    }
    catch (const Poco::Exception& e)
    {
        rv = pushPocoException(L, e);
    }
    catch (...)
    {
        rv = pushUnknownException(L);
    }
    
    return rv;
}","/// checks for environment variables existence.
// @string name environment variable's name.
// @return boolean or nil. (error)
// @return error message.
// @function has","/**
     * Update an existing serviceCatalog
     *
     * @param serviceEntry ServiceCatalogInfo
     * @param tenantID     ID of the owner's tenant
     * @param userName     Logged in user name
     * @return serviceCatalogId
     * throws APIManagementException if failed to create service catalog
     */",
"static void network_request_lambda_function(void* userdata,
                                            const realm_http_request_t request,
                                            void* request_context) {
    auto jenv = get_env(true);

    // Initialize pointer to JVM class and methods
    jobject network_transport = static_cast<jobject>(userdata);

    try {
        jclass response_callback_class = jenv->FindClass(
                ""io/realm/internal/interop/sync/ResponseCallbackImpl"");
        static jmethodID response_callback_constructor = jenv->GetMethodID(response_callback_class,
                                                                           ""<init>"",
                                                                           ""(Lio/realm/internal/interop/sync/NetworkTransport;J)V"");
        jobject response_callback = jenv->NewObject(response_callback_class,
                                                    response_callback_constructor,
                                                    reinterpret_cast<jobject>(userdata),
                                                    reinterpret_cast<jlong>(request_context));

        send_request_via_jvm_transport(jenv, network_transport, request, response_callback);
    } catch (std::runtime_error &e) {
        // Runtime exception while processing the request/response
        realm_http_response_t response_error;
        // FIXME: validate we propagate the custom codes as an actual exception to the user
        // see: https://github.com/realm/realm-kotlin/issues/451
        response_error.custom_status_code = -4;
        response_error.num_headers = 0;
        response_error.body_size = 0;

        realm_http_transport_complete_request(request_context, &response_error);
    }
}","/**
 * Perform a network request on JVM
 *
 * 1. Cast userdata to the network transport
 * 2. Transform core request to JVM request
 * 3. Perform request
 * 4. Transform JVM response to core response
 */","/**
     * Rotates the vector's data by an float angle
     * @param angle Rotating angle.
     * @return Vector's data rotated.
     */",
"void RowAggregation::doStatistics(const Row& rowIn, int64_t colIn, int64_t colOut, int64_t colAux)
{
    int colDataType = (fRowGroupIn.getColTypes())[colIn];

    if (isNull(&fRowGroupIn, rowIn, colIn) == true)
        return;

    long double valIn = 0.0;

    switch (colDataType)
    {
        case execplan::CalpontSystemCatalog::TINYINT:
        case execplan::CalpontSystemCatalog::SMALLINT:
        case execplan::CalpontSystemCatalog::MEDINT:
        case execplan::CalpontSystemCatalog::INT:
        case execplan::CalpontSystemCatalog::BIGINT:
            valIn = (long double) rowIn.getIntField(colIn);
            break;

        case execplan::CalpontSystemCatalog::DECIMAL:   // handle scale later
        case execplan::CalpontSystemCatalog::UDECIMAL:  // handle scale later
            if (LIKELY(fRowGroupIn.getColumnWidth(colIn) == datatypes::MAXDECIMALWIDTH))
            {
                // To save from unaligned memory
                datatypes::TSInt128 val128In(rowIn.getBinaryField<int128_t>(colIn));
                valIn =  static_cast<long double>(val128In.toTFloat128());
            }
            else if (fRowGroupIn.getColumnWidth(colIn) <= datatypes::MAXLEGACYWIDTH)
            {
                valIn = (long double) rowIn.getIntField(colIn);
            }
            else
            {
                idbassert(false);
            }
            break;

        case execplan::CalpontSystemCatalog::UTINYINT:
        case execplan::CalpontSystemCatalog::USMALLINT:
        case execplan::CalpontSystemCatalog::UMEDINT:
        case execplan::CalpontSystemCatalog::UINT:
        case execplan::CalpontSystemCatalog::UBIGINT:
            valIn = (long double) rowIn.getUintField(colIn);
            break;

        case execplan::CalpontSystemCatalog::DOUBLE:
        case execplan::CalpontSystemCatalog::UDOUBLE:
            valIn = (long double) rowIn.getDoubleField(colIn);
            break;

        case execplan::CalpontSystemCatalog::FLOAT:
        case execplan::CalpontSystemCatalog::UFLOAT:
            valIn = (long double) rowIn.getFloatField(colIn);
            break;

        case execplan::CalpontSystemCatalog::LONGDOUBLE:
            valIn = rowIn.getLongDoubleField(colIn);
            break;

        default:
            std::ostringstream errmsg;
            errmsg << ""RowAggregation: no average for data type: "" << colDataType;
            cerr << errmsg.str() << endl;
            throw logging::QueryDataExcept(errmsg.str(), logging::aggregateFuncErr);
            break;
    }

    fRow.setDoubleField(fRow.getDoubleField(colOut) + 1.0, colOut);
    fRow.setLongDoubleField(fRow.getLongDoubleField(colAux) + valIn, colAux);
    fRow.setLongDoubleField(fRow.getLongDoubleField(colAux + 1) + valIn * valIn, colAux + 1);
}","//------------------------------------------------------------------------------
// Update the sum and count fields for average if input is not null.
// rowIn(in)  - Row to be included in aggregation.
// colIn(in)  - column in the input row group
// colOut(in) - column in the output row group stores the count
// colAux(in) - column in the output row group stores the sum(x)
// colAux + 1 - column in the output row group stores the sum(x**2)
//------------------------------------------------------------------------------","/**
	 * <p>Return the default graph location as specified by the <code>hgdbowl.defaultdb</code>
	 * property. If no such system property is specified, the default location will be
	 * <code>System.getProperty(""java.io.tmpdir"") + File.separator + ""hgdbowl.defaultdb""</code>.
	 */",
"GlobalNamespace::Signal* GlobalNamespace::TutorialSongController::TutorialObjectSpawnData::_get_signal() {
  static auto ___internal__logger = ::Logger::get().WithContext(""GlobalNamespace::TutorialSongController::TutorialObjectSpawnData::_get_signal"");
  auto ___internal__instance = this;
  static auto ___internal__field__offset = THROW_UNLESS(il2cpp_utils::FindField(___internal__instance, ""signal""))->offset;
  return *reinterpret_cast<GlobalNamespace::Signal**>(reinterpret_cast<char*>(this) + ___internal__field__offset);
}","// Completed includes
// Autogenerated instance field getter
// Get instance field: public readonly Signal signal
","/* goodB2G2() - reads in an integer data from the user and increments it.
use badsource and goodsink by reversing the blocks in the second switch  */",
"void Zenject::AnimatorInstaller::_set__animator(UnityEngine::Animator* value) {
  static auto ___internal__logger = ::Logger::get().WithContext(""Zenject::AnimatorInstaller::_set__animator"");
  auto ___internal__instance = this;
  static auto ___internal__field__offset = THROW_UNLESS(il2cpp_utils::FindField(___internal__instance, ""_animator""))->offset;
  *reinterpret_cast<UnityEngine::Animator**>(reinterpret_cast<char*>(this) + ___internal__field__offset) = value;
}","// Autogenerated instance field setter
// Set instance field: private readonly UnityEngine.Animator _animator","/**
     * Pushes a debug group described by the string {@code message} into the command stream. The value of {@code id} specifies the ID of messages generated.
     * The parameter {@code length} contains the number of characters in {@code message}. If {@code length} is negative, it is implied that {@code message}
     * contains a null terminated string. The message has the specified {@code source} and {@code id}, {@code type} {@link #GL_DEBUG_TYPE_PUSH_GROUP DEBUG_TYPE_PUSH_GROUP}, and
     * {@code severity} {@link #GL_DEBUG_SEVERITY_NOTIFICATION DEBUG_SEVERITY_NOTIFICATION}. The GL will put a new debug group on top of the debug group stack which inherits the control of the
     * volume of debug output of the debug group previously residing on the top of the debug group stack. Because debug groups are strictly hierarchical, any
     * additional control of the debug output volume will only apply within the active debug group and the debug groups pushed on top of the active debug group.
     * 
     * <p>An {@link GL11#GL_INVALID_ENUM INVALID_ENUM} error is generated if the value of {@code source} is neither {@link #GL_DEBUG_SOURCE_APPLICATION DEBUG_SOURCE_APPLICATION} nor {@link #GL_DEBUG_SOURCE_THIRD_PARTY DEBUG_SOURCE_THIRD_PARTY}. An
     * {@link GL11#GL_INVALID_VALUE INVALID_VALUE} error is generated if {@code length} is negative and the number of characters in {@code message}, excluding the null-terminator, is
     * not less than the value of {@link #GL_MAX_DEBUG_MESSAGE_LENGTH MAX_DEBUG_MESSAGE_LENGTH}.</p>
     *
     * @param source  the source of the debug message. One of:<br><table><tr><td>{@link #GL_DEBUG_SOURCE_APPLICATION DEBUG_SOURCE_APPLICATION}</td><td>{@link #GL_DEBUG_SOURCE_THIRD_PARTY DEBUG_SOURCE_THIRD_PARTY}</td></tr></table>
     * @param id      the identifier of the message
     * @param message a string containing the message to be sent to the debug output stream
     * 
     * @see <a target=""_blank"" href=""http://docs.gl/gl4/glPushDebugGroup"">Reference Page</a>
     */",
